algorithm,run_id,sudoku_id,exec_time,branch_count
random,5,8,1.5664112567901611,147
random,6,8,1.2001404762268066,102
random,7,8,1.8413481712341309,167
random,8,8,2.7873921394348145,301
random,9,8,0.8443033695220947,20
random,10,8,1.9444339275360107,242
random,11,8,0.6523957252502441,14
random,12,8,1.4917211532592773,117
random,13,8,1.2497050762176514,107
random,14,8,2.4012253284454346,252
random,0,9,3.020408868789673,284
random,1,9,3.6807873249053955,343
random,2,9,3.2855746746063232,313
random,3,9,2.5613131523132324,213
random,4,9,1.1205544471740723,56
random,5,9,0.7306323051452637,9
random,6,9,1.1419498920440674,60
random,7,9,0.6805238723754883,4
random,8,9,1.532843828201294,117
random,9,9,1.9373259544372559,167
random,10,9,5.666679859161377,642
random,11,9,2.3538432121276855,211
random,12,9,0.7975013256072998,21
random,13,9,1.7575781345367432,126
random,14,9,2.4777746200561523,236
random,0,10,1.501615285873413,118
random,1,10,0.7325215339660645,13
random,2,10,1.9966304302215576,205
random,3,10,0.9204370975494385,49
random,4,10,2.1647071838378906,234
random,5,10,0.8046388626098633,35
random,6,10,1.336761236190796,97
random,7,10,1.4270083904266357,102
random,8,10,0.6833896636962891,6
random,9,10,1.4608337879180908,124
random,10,10,1.9243974685668945,195
random,11,10,1.512610673904419,130
random,12,10,2.0364773273468018,180
random,13,10,0.8865790367126465,36
random,14,10,1.143873929977417,74
random,0,11,1.2011651992797852,76
random,1,11,2.301246166229248,241
random,2,11,1.6083855628967285,136
random,3,11,1.1853740215301514,49
random,4,11,4.624870777130127,454
random,5,11,2.0923614501953125,192
random,6,11,3.116004467010498,273
random,7,11,0.8460798263549805,31
random,8,11,2.495525598526001,224
random,9,11,0.610666036605835,1
random,10,11,2.115704298019409,173
random,11,11,2.4780337810516357,242
random,12,11,1.5066916942596436,113
random,13,11,3.866628646850586,384
random,14,11,2.8206944465637207,281
random,0,12,4.662053823471069,445
random,1,12,4.443771839141846,442
random,2,12,0.7091677188873291,2
random,3,12,3.229149580001831,284
random,4,12,3.9525837898254395,356
random,5,12,0.7333955764770508,12
random,6,12,0.9236922264099121,23
random,7,12,0.6544358730316162,2
random,8,12,4.4031407833099365,403
random,9,12,3.6309969425201416,338
random,10,12,3.3259763717651367,278
random,11,12,2.0541186332702637,144
random,12,12,0.7252399921417236,6
random,13,12,3.1539463996887207,291
random,14,12,3.562105894088745,274
random,0,13,2.8208229541778564,328
random,1,13,4.856092691421509,633
random,2,13,0.6944410800933838,3
random,3,13,3.1766092777252197,395
random,4,13,1.7192943096160889,116
random,5,13,1.9716548919677734,204
random,6,13,4.492810487747192,505
random,7,13,1.742574691772461,138
random,8,13,1.4640710353851318,125
random,9,13,1.2254514694213867,39
random,10,13,0.6786797046661377,7
random,11,13,1.8975772857666016,218
random,12,13,0.7236049175262451,3
random,13,13,0.8868391513824463,28
random,14,13,1.810058832168579,155
random,0,14,1.685142993927002,144
