algorithm,run_id,sudoku_id,exec_time,branch_count
random,14,3,0.5499327182769775,1
random,0,4,0.5524818897247314,1
random,1,4,0.5532410144805908,1
random,2,4,0.5689475536346436,2
random,3,4,0.5543427467346191,2
random,4,4,0.5544507503509521,2
random,5,4,0.5521478652954102,1
random,6,4,0.5540692806243896,1
random,7,4,0.5565619468688965,2
random,8,4,0.5973279476165771,2
random,9,4,0.5636265277862549,1
random,10,4,0.5696735382080078,2
random,11,4,0.5710358619689941,2
random,12,4,0.5595784187316895,1
random,13,4,0.5669302940368652,2
random,14,4,0.5664370059967041,2
random,0,5,0.5586681365966797,2
random,1,5,0.5551095008850098,2
random,2,5,0.5546157360076904,2
random,3,5,0.5739600658416748,2
random,4,5,0.5553417205810547,2
random,5,5,0.5554194450378418,2
random,6,5,0.5600113868713379,2
random,7,5,0.5563528537750244,2
random,8,5,0.5541293621063232,1
random,9,5,0.5539016723632812,2
random,10,5,0.5580599308013916,2
random,11,5,0.5499598979949951,1
random,12,5,0.5558662414550781,2
random,13,5,0.5534670352935791,1
random,14,5,0.5538692474365234,1
random,0,6,0.561394453048706,1
random,1,6,0.5622735023498535,1
random,2,6,0.560436487197876,1
random,3,6,0.6190953254699707,1
random,4,6,0.5626707077026367,1
random,5,6,0.5612084865570068,1
random,6,6,0.5606174468994141,1
random,7,6,0.5626227855682373,1
random,8,6,0.5621070861816406,1
random,9,6,0.5597331523895264,1
random,10,6,0.5599679946899414,1
random,11,6,0.5621497631072998,1
random,12,6,0.5759918689727783,1
random,13,6,0.5623517036437988,1
random,14,6,0.5617556571960449,1
random,0,7,0.573232889175415,1
random,1,7,0.5772466659545898,2
random,2,7,0.582150936126709,2
random,3,7,0.575965404510498,2
random,4,7,0.5751657485961914,2
random,5,7,0.5813684463500977,2
random,6,7,0.5836594104766846,2
random,7,7,0.5748081207275391,1
random,8,7,0.5939538478851318,1
random,9,7,0.5851058959960938,2
random,10,7,0.5708320140838623,2
random,11,7,0.5809087753295898,2
random,12,7,0.5725114345550537,1
random,13,7,0.5766184329986572,2
random,14,7,0.6284744739532471,1
random,0,8,0.5740911960601807,2
random,1,8,0.5582010746002197,1
random,2,8,0.5590696334838867,2
random,3,8,0.5583281517028809,1
