algorithm,run_id,sudoku_id,exec_time,branch_count
random,8,5,33.10253953933716,3764
random,9,5,18.552279472351074,1963
random,10,5,1.6495978832244873,110
random,11,5,1.0098698139190674,30
random,12,5,0.8627667427062988,6
random,13,5,1.5553181171417236,94
random,14,5,18.901637077331543,2078
random,0,6,14.551026344299316,1650
random,1,6,0.7044782638549805,2
random,2,6,3.8395676612854004,420
random,3,6,7.048917055130005,764
random,4,6,2.550926923751831,244
random,5,6,11.699516773223877,1286
random,6,6,0.7329518795013428,9
random,7,6,11.088334321975708,1129
random,8,6,2.182887315750122,180
random,9,6,6.428909540176392,625
random,10,6,4.165548086166382,427
random,11,6,10.541592597961426,1153
random,12,6,0.7412593364715576,3
random,13,6,12.152498960494995,1325
random,14,6,12.630455732345581,1310
random,0,7,3.451418161392212,237
random,1,7,4.356731414794922,408
random,2,7,26.93841576576233,2528
random,3,7,2.494192600250244,176
random,4,7,10.356204509735107,1051
random,5,7,36.63237524032593,3368
random,6,7,8.05205488204956,747
random,7,7,8.216422319412231,756
random,8,7,22.27374815940857,2202
random,9,7,10.68325424194336,974
random,10,7,0.9632039070129395,31
random,11,7,33.473745346069336,3083
random,12,7,31.737821578979492,2848
random,13,7,26.79859948158264,2524
random,14,7,2.687711238861084,193
random,0,8,3.6950292587280273,319
random,1,8,1.759859323501587,109
random,2,8,0.8058779239654541,12
random,3,8,1.604241132736206,103
random,4,8,2.0856831073760986,196
random,5,8,9.70460820198059,960
random,6,8,8.349265813827515,919
random,7,8,9.042012453079224,1032
random,8,8,16.971707344055176,1739
random,9,8,2.3857221603393555,228
random,10,8,2.6495862007141113,226
random,11,8,4.659795522689819,483
random,12,8,5.0590033531188965,473
random,13,8,7.045451402664185,753
random,14,8,1.606360912322998,106
random,0,9,22.88697052001953,2365
random,1,9,19.639247179031372,1782
random,2,9,6.765838623046875,582
random,3,9,10.999740362167358,989
random,4,9,20.205081462860107,1762
random,5,9,16.638454914093018,1611
random,6,9,16.457160472869873,1494
random,7,9,9.586862087249756,842
random,8,9,20.0792715549469,1801
random,9,9,28.12485933303833,2493
random,10,9,3.923898696899414,273
random,11,9,10.860266923904419,953
random,12,9,4.490161180496216,377
random,13,9,34.071149826049805,3108
random,14,9,10.842413663864136,942
random,0,10,7.053373098373413,883
random,1,10,5.292768716812134,626
random,2,10,6.470776796340942,866
random,3,10,1.6162605285644531,117
random,4,10,1.0766944885253906,53
random,5,10,6.4418840408325195,724
random,6,10,3.9306185245513916,421
random,7,10,8.136740684509277,1080
random,8,10,3.8374366760253906,405
random,9,10,4.923556566238403,565
random,10,10,2.38606595993042,262
random,11,10,2.16076922416687,181
random,12,10,3.631990909576416,395
random,13,10,7.057637691497803,853
random,14,10,13.43515419960022,1742
random,0,11,2.6259896755218506,225
random,1,11,17.647371530532837,1714
random,2,11,8.53366994857788,759
random,3,11,7.165822505950928,628
random,4,11,13.05965805053711,1348
random,5,11,20.34144902229309,1786
random,6,11,2.969235420227051,220
random,7,11,9.0642569065094,768
random,8,11,10.094534158706665,899
random,9,11,10.072091102600098,970
random,10,11,19.326290369033813,1772
random,11,11,14.383633375167847,1325
random,12,11,0.9059672355651855,24
random,13,11,20.768810272216797,2005
random,14,11,0.7308809757232666,8
random,0,12,2.4094057083129883,212
random,1,12,3.5793118476867676,363
random,2,12,4.143975496292114,382
random,3,12,3.914743661880493,352
random,4,12,4.091087341308594,442
random,5,12,1.7412331104278564,147
random,6,12,4.51646089553833,459
random,7,12,2.877713203430176,265
random,8,12,2.3082826137542725,212
random,9,12,1.4694936275482178,110
random,10,12,0.6438360214233398,1
random,11,12,3.6420154571533203,331
random,12,12,6.104669094085693,650
random,13,12,1.164440631866455,90
random,14,12,1.3029990196228027,63
random,0,13,3.0335187911987305,298
random,1,13,1.4311959743499756,82
random,2,13,6.115457534790039,773
random,3,13,2.1953015327453613,293
random,4,13,0.9556927680969238,36
random,5,13,3.0924196243286133,279
random,6,13,9.0035080909729,1081
random,7,13,1.9253630638122559,140
random,8,13,3.9024648666381836,493
random,9,13,1.0419037342071533,25
random,10,13,4.725814580917358,593
random,11,13,0.9461188316345215,29
random,12,13,10.235076904296875,1225
random,13,13,7.593595504760742,946
random,14,13,0.8428106307983398,19
random,0,14,16.46165156364441,1689
random,1,14,11.986509561538696,1447
random,2,14,11.452782392501831,1153
random,3,14,3.909625291824341,334
random,4,14,1.3045287132263184,43
random,5,14,7.994995355606079,763
random,6,14,6.582309007644653,683
random,7,14,3.0314645767211914,250
random,8,14,1.183347463607788,59
random,9,14,7.208230257034302,822
random,10,14,3.168874740600586,283
random,11,14,1.1051201820373535,41
random,12,14,7.490621328353882,773
random,13,14,5.70850133895874,619
random,14,14,4.820154905319214,514
random,0,15,3.3978142738342285,229
random,1,15,2.098148822784424,98
